127.0.0.1 - - [01/Nov/2023:13:25:52 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Nov/2023:13:25:58 +0530] "GET /tendermanagement/ HTTP/1.1" 200 23080
0:0:0:0:0:0:0:1 - - [01/Nov/2023:13:25:59 +0530] "GET /tendermanagement/css/SpryTabbedPanels.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2023:13:25:59 +0530] "GET /tendermanagement/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2023:13:25:59 +0530] "GET /tendermanagement/js/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2023:13:25:59 +0530] "GET /tendermanagement/css/style2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2023:13:25:59 +0530] "GET /tendermanagement/css/annimate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2023:13:25:59 +0530] "GET /tendermanagement/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2023:13:25:59 +0530] "GET /tendermanagement/js/ajax-utils.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2023:13:25:59 +0530] "GET /tendermanagement/js/bootstrap-dropdownhover.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2023:13:25:59 +0530] "GET /tendermanagement/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2023:13:25:59 +0530] "GET /tendermanagement/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2023:13:25:59 +0530] "GET /tendermanagement/images/library1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2023:13:25:59 +0530] "GET /tendermanagement/images/home1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2023:13:25:59 +0530] "GET /tendermanagement/images/cap.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2023:13:25:59 +0530] "GET /tendermanagement/images/onwork.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2023:13:25:59 +0530] "GET /tendermanagement/images/building.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2023:13:25:59 +0530] "GET /tendermanagement/images/hit1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2023:13:25:59 +0530] "GET /tendermanagement/images/nun.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2023:13:25:59 +0530] "GET /tendermanagement/images/Photoscan18.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2023:13:25:59 +0530] "GET /tendermanagement/images/building2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2023:13:25:59 +0530] "GET /tendermanagement/images/deepshikha.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2023:13:25:59 +0530] "GET /tendermanagement/images/ayush.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2023:13:25:59 +0530] "GET /tendermanagement/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2023:13:25:59 +0530] "GET /tendermanagement/images/Banner_Hit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2023:13:31:03 +0530] "GET /tendermanagement/vendorViewTender.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Nov/2023:13:31:04 +0530] "GET /tendermanagement/loginFailed.jsp HTTP/1.1" 200 21125
0:0:0:0:0:0:0:1 - - [01/Nov/2023:13:31:15 +0530] "POST /tendermanagement/LoginSrv HTTP/1.1" 200 20468
0:0:0:0:0:0:0:1 - - [01/Nov/2023:13:31:21 +0530] "GET /tendermanagement/vendorViewTender.jsp HTTP/1.1" 200 22240
